delta_s,coverage_star,coverage_pi,coverage_pi_tuned,coverage_pi_sd,coverage_star_ci_low,coverage_star_ci_high,coverage_pi_ci_low,coverage_pi_ci_high,coverage_pi_tuned_ci_low,coverage_pi_tuned_ci_high,coverage_pi_sd_ci_low,coverage_pi_sd_ci_high,coverage_gap_pi,coverage_gap_pi_tuned,coverage_gap_pi_sd,coverage_gap,coverage_gap_tuned,coverage_gain_pi_tuned_vs_base,coverage_gain_pi_sd_vs_base,coverage_gain_tuned_vs_base
1.95,0.9727874246889907,0.4912941065066345,0.9355728371388327,0.9487944320159085,0.9714599386858894,0.9740542476001088,0.4879197590047702,0.4953546867417114,0.9336609140300416,0.9375498621024347,0.9469357740610538,0.9504163559532687,0.4814933181823562,0.03721458755015805,0.023992992673082192,0.4814933181823562,0.03721458755015805,0.44427873063219814,0.457500325509274,0.44427873063219814
2.0,0.9762319046435377,0.49288022442384866,0.9386858894688872,0.9513393227039759,0.9749417042481919,0.9774052176177456,0.48954138702460853,0.49704851863688554,0.936706793082632,0.9405921901447628,0.9495401441710166,0.9529038386420937,0.48335168021968905,0.037546015174650504,0.024892581939561786,0.48335168021968905,0.037546015174650504,0.44580566504503855,0.45845909828012726,0.44580566504503855
2.05,0.9796290377945859,0.49464389285418375,0.9418699620041902,0.9538960500929181,0.9785045512114863,0.9807653610785602,0.4913512185883551,0.4988234319330516,0.9400808446669744,0.9437638341441473,0.9522007386101345,0.9554718108968668,0.4849851449404021,0.037759075790395724,0.025732987701667764,0.4849851449404021,0.037759075790395724,0.4472260691500064,0.45925215723873436,0.4472260691500064
2.1,0.9819608678669082,0.49570919593290963,0.9439177112555188,0.9555058414118817,0.9809654013233431,0.9830383035640305,0.49242835836795573,0.4997463986837589,0.9420827267024136,0.9457651243445426,0.9538247339701479,0.9570810103807866,0.48625167193399854,0.03804315661138935,0.02645502645502651,0.48625167193399854,0.03804315661138935,0.4482085153226092,0.45979664547897203,0.4482085153226092
2.15,0.9843637181444788,0.49715327343962695,0.9462495413278411,0.9571629795343441,0.9833573026526047,0.9853816744197057,0.4937549566184914,0.501118864150184,0.9445669542984979,0.9480963625818212,0.9554937087934852,0.9586792609163974,0.4872104447048518,0.038114176816637646,0.02720073861013461,0.4872104447048518,0.038114176816637646,0.44909626788821416,0.4600097060947172,0.44909626788821416
2.2,0.9861628966774381,0.4983487802279749,0.94784749594593,0.9584058331261911,0.9852514707100837,0.9870864552631889,0.4948329841506576,0.5023738503604276,0.9461187457831753,0.9496946131174319,0.9567010522827079,0.9598652983440455,0.48781411644946315,0.038315400731508076,0.027757063551246963,0.48781411644946315,0.038315400731508076,0.4494987157179551,0.4600570528982162,0.4494987157179551
2.25,0.98784370820165,0.4997100008285691,0.9492323899482736,0.9592580755891718,0.9869790372027508,0.9887669708698792,0.4961462661127091,0.5036406732715458,0.9475255376821373,0.9510567214705917,0.9576234271983712,0.9607864895896215,0.4881337073730809,0.03861131825337638,0.028585632612478262,0.4881337073730809,0.03861131825337638,0.44952238911970455,0.45954807476060267,0.44952238911970455
2.3,0.9889208479812507,0.5008818342151676,0.9500136122060059,0.9597788904276601,0.9880564728998734,0.9898094882994212,0.4973527218493662,0.5048486085958122,0.9482839742906857,0.9518367600582365,0.9582383438088136,0.9612972432323663,0.48803901376608305,0.0389072357752448,0.029141957553590614,0.48803901376608305,0.0389072357752448,0.44913177799083825,0.45889705621249244,0.44913177799083825
2.35,0.9899032941538535,0.5023614218245092,0.9509132014724856,0.960311541967023,0.989003408969852,0.9907561284518779,0.49880863605695824,0.5062340944331997,0.9492433388965827,0.9527481860255909,0.9586899139471846,0.961945006687736,0.4875418723293443,0.03899009268136788,0.029591752186830522,0.4875418723293443,0.03899009268136788,0.44855177964797643,0.4579501201425138,0.44855177964797643
2.4,0.99072002651421,0.5039238663399738,0.9514340163109738,0.9607021530958891,0.9898319780310832,0.9915133813903388,0.5003832131908196,0.5077370595267688,0.9497762863534676,0.9532580519157701,0.9591036066427565,0.962288862848147,0.4867961601742362,0.03928601020323619,0.03001787341832085,0.4867961601742362,0.03928601020323619,0.447510149971,0.45677828675591536,0.447510149971
