dataset,delta_s,coverage_star,coverage_pi,coverage_pi_tuned,coverage_pi_sd,coverage_star_ci_low,coverage_star_ci_high,coverage_pi_ci_low,coverage_pi_ci_high,coverage_pi_tuned_ci_low,coverage_pi_tuned_ci_high,coverage_pi_sd_ci_low,coverage_pi_sd_ci_high,coverage_gap_pi,coverage_gap_pi_tuned,coverage_gap_pi_sd,coverage_gap,coverage_gap_tuned,coverage_gain_pi_tuned_vs_base,coverage_gain_pi_sd_vs_base,coverage_gain_tuned_vs_base
us101,0.5,0.0462459903175786,0.0062971248653575,0.039688458032977,0.0459619094965851,0.0444698933513251,0.0479868730987299,0.0057286673058485,0.0069010925274907,0.038018891374596,0.0412393617650888,0.0441976492312062,0.0476785270409431,0.0399488654522211,0.0065575322846016,0.0002840808209935,0.0399488654522211,0.0065575322846016,0.0333913331676195,0.0396647846312275,0.0333913331676195
us101,0.55,0.0812944616076607,0.0154942414450244,0.0731863215084691,0.0807973201709219,0.078428796325888,0.0836739344010037,0.014510907519856,0.0163947184640696,0.0706757572529384,0.0751168874211379,0.0778618183539883,0.0832004663660144,0.0658002201626362,0.0081081400991915,0.0004971414367387,0.0658002201626362,0.0081081400991915,0.0576920800634447,0.0653030787258975,0.0576920800634447
us101,0.6,0.1167453807274836,0.0287039996212255,0.107489080643443,0.1160706887776239,0.1134399820082146,0.1195755359066321,0.0272590343619426,0.0300894854586129,0.1043023448504433,0.1100342672490323,0.112578566102056,0.1188191707207367,0.088041381106258,0.0092563000840405,0.0006746919498597,0.088041381106258,0.0092563000840405,0.0787850810222175,0.0873666891563983,0.0787850810222175
us101,0.65,0.1658440159558727,0.0495602665625037,0.1550844548607412,0.1647076926718985,0.1618870068534498,0.1693864446101582,0.0477249860918764,0.0512419658392812,0.1513659552809441,0.1580678953162174,0.1608548465371731,0.168160162399536,0.116283749393369,0.0107595610951315,0.0011363232839742,0.116283749393369,0.0107595610951315,0.1055241882982375,0.1151474261093948,0.1055241882982375
us101,0.7,0.2131079625486784,0.0725944864647325,0.2007977936389569,0.2115573547340885,0.208808280955932,0.2171800835671082,0.0702981664950344,0.0749621225572008,0.1965717955091557,0.2046370275676763,0.2072482037806423,0.2157250571120817,0.1405134760839459,0.0123101689097215,0.0015506078145899,0.1405134760839459,0.0123101689097215,0.1282033071742244,0.138962868269356,0.1282033071742244
us101,0.75,0.2697229028325225,0.100505427127351,0.2551874341583514,0.2673673993584508,0.2646203970029473,0.2741983594332587,0.0978164246061338,0.1031947255660902,0.2502145402033545,0.2593903507214469,0.2623347300640365,0.2718570600002367,0.1692174757051714,0.0145354686741711,0.0023555034740717,0.1692174757051714,0.0145354686741711,0.1546820070310003,0.1668619722310997,0.1546820070310003
us101,0.8,0.313151758341915,0.1218351621036185,0.2967697643312856,0.309967685806612,0.3078131103298889,0.3176769290863251,0.1189940579761609,0.124712368168744,0.2916394422546548,0.3012256903755786,0.3046719458352568,0.3146203970029474,0.1913165962382965,0.0163819940106293,0.0031840725353029,0.1913165962382965,0.0163819940106293,0.1749346022276671,0.1881325237029935,0.1749346022276671
us101,0.85,0.3647361007539979,0.1477457003184072,0.3459986032692968,0.360616928849591,0.3593968609069281,0.3698202596972172,0.1446427091840962,0.151013221594877,0.3408378016879136,0.3510348235739735,0.3554206171655837,0.3657428121633939,0.2169904004355906,0.0187374974847011,0.0041191719044068,0.2169904004355906,0.0187374974847011,0.1982529029508895,0.2128712285311838,0.1982529029508895
us101,0.9,0.4102837257199674,0.1710521643407549,0.3896641927961839,0.4053123113525799,0.4052957399713552,0.4150485896570908,0.1679021223204668,0.1742838795970787,0.3849484511676906,0.3944468117846195,0.4003388255625393,0.4101413893919487,0.2392315613792124,0.0206195329237834,0.0049714143673875,0.2392315613792124,0.0206195329237834,0.2186120284554289,0.2342601470118249,0.2186120284554289
us101,0.95,0.4642472450078714,0.1994010629357386,0.441236698507392,0.458518281784501,0.4592731673827871,0.469339985559225,0.1960731744848076,0.2027881348910432,0.4359078157735876,0.4461003988968195,0.4533684291514269,0.4634675023377484,0.2648461820721328,0.0230105465004794,0.0057289632233704,0.2648461820721328,0.0230105465004794,0.2418356355716534,0.2591172188487625,0.2418356355716534
us101,1.0,0.5100907874957092,0.2252287442444042,0.4850443284447759,0.5034030515014856,0.5048527514411184,0.5154033947658109,0.2215454588497094,0.2288640910005563,0.4798897411313519,0.4904448232188725,0.4983801474852929,0.5086079447936273,0.284862043251305,0.0250464590509333,0.0066877359942236,0.284862043251305,0.0250464590509333,0.2598155842003716,0.2781743072570813,0.2598155842003716
