dataset,delta_s,coverage_star,coverage_pi,coverage_pi_tuned,coverage_pi_sd,coverage_star_ci_low,coverage_star_ci_high,coverage_pi_ci_low,coverage_pi_ci_high,coverage_pi_tuned_ci_low,coverage_pi_tuned_ci_high,coverage_pi_sd_ci_low,coverage_pi_sd_ci_high,coverage_gap_pi,coverage_gap_pi_tuned,coverage_gap_pi_sd,coverage_gap,coverage_gap_tuned,coverage_gain_pi_tuned_vs_base,coverage_gain_pi_sd_vs_base,coverage_gain_tuned_vs_base
us101,0.5,0.0206897742374718,0.0029090218910971,0.0177652556431942,0.0205639627149346,0.0198005455739445,0.021577290247843,0.0026041998602497,0.0032056904392645,0.0169364274229665,0.0185270132693915,0.0196694209794445,0.0214332556375523,0.0177807523463747,0.0029245185942776,0.0001258115225372,0.0177807523463747,0.0029245185942776,0.014856233752097,0.0176549408238374,0.014856233752097
us101,0.55,0.036623520970468,0.0070641624808093,0.0329777471137385,0.0363903671526322,0.0351893568929783,0.0377740863182388,0.006575056143042,0.0075010478466228,0.0317286945891137,0.0339359608234082,0.0349792145948654,0.0375272361684325,0.0295593584896586,0.0036457738567294,0.0002331538178358,0.0295593584896586,0.0036457738567294,0.0259135846329291,0.0293262046718228,0.0259135846329291
us101,0.6,0.053185556272355,0.0132012529600135,0.0490001599672823,0.0528622710443491,0.0515127151107717,0.054805967020941,0.0125071142055916,0.0138683636475814,0.0473552880265432,0.0503910089241493,0.0511842155433307,0.054434858654851,0.0399843033123414,0.0041853963050726,0.0003232852280058,0.0399843033123414,0.0041853963050726,0.0357989070072688,0.0396610180843356,0.0357989070072688
us101,0.65,0.0768608348352216,0.0231419286734349,0.0718807347175464,0.0762872521401275,0.0747282839832148,0.0788566022145663,0.0221766709432672,0.0239598871355919,0.0699340054191327,0.0737350508343678,0.0741832487618007,0.0782572846276608,0.0537189061617867,0.0049801001176752,0.000573582695094,0.0537189061617867,0.0049801001176752,0.0487388060441114,0.0531453234666926,0.0487388060441114
us101,0.7,0.1003352393754948,0.034221178432065,0.0945029306470571,0.0995093661790739,0.0977736981504134,0.1029132625339784,0.0329713541865173,0.0354439442409913,0.092083028152284,0.096807952995354,0.0969635300966373,0.101909293348769,0.0661140609434297,0.0058323087284376,0.0008258731964208,0.0661140609434297,0.0058323087284376,0.0602817522149921,0.0652881877470088,0.0602817522149921
us101,0.75,0.1304939237704987,0.0483680056766691,0.1233825389404212,0.1291424323493355,0.1273325601817106,0.1334187822981802,0.0468024818332109,0.0499792049096901,0.1203248441306063,0.1260182718009531,0.1259616397645241,0.1320271380980714,0.0821259180938295,0.0071113848300775,0.0013514914211631,0.0821259180938295,0.0071113848300775,0.075014533263752,0.0807744266726664,0.075014533263752
us101,0.8,0.1555161922020837,0.060223749358462,0.1471519577768145,0.1535495171408001,0.1520193516092841,0.1586565630151439,0.058480627164261,0.0620419319661067,0.1438743497355412,0.1501637977719163,0.1501293699736153,0.1567264101297595,0.0952924428436216,0.0083642344252692,0.0019666750612836,0.0952924428436216,0.0083642344252692,0.0869282084183524,0.093325767782338,0.0869282084183524
us101,0.85,0.1886280602946196,0.0762077958068946,0.1786165752921483,0.1859153919586269,0.1846765424468741,0.192480270124502,0.0741522943085454,0.0783733066138376,0.1749533363072889,0.1826120336879535,0.1820398407035251,0.1898831404202657,0.1124202644877249,0.0100114850024712,0.0027126683359927,0.1124202644877249,0.0100114850024712,0.1024087794852537,0.1097075961517322,0.1024087794852537
us101,0.9,0.2203024737724506,0.0914740018848403,0.2087800384690777,0.2168109244133202,0.2161051513936326,0.2243949950776234,0.0891676725033013,0.0938102928377757,0.2047486777975207,0.2129056079550146,0.2128045486690706,0.2208539817641489,0.1288284718876103,0.0115224353033729,0.0034915493591304,0.1288284718876103,0.0115224353033729,0.1173060365842373,0.1253369225284799,0.1173060365842373
us101,0.95,0.2613355586059029,0.112633748693723,0.2478737671916134,0.2570269522946839,0.2569112353729847,0.2658487536815196,0.1100555152346935,0.1151381023578264,0.2435162991860173,0.2521402838900943,0.2526613085329519,0.2614168866692741,0.1487018099121799,0.0134617914142895,0.004308606311219,0.1487018099121799,0.0134617914142895,0.1352400184978903,0.1443932036009608,0.1352400184978903
us101,1.0,0.2988844212115321,0.1328771618797061,0.2835252153848284,0.2935697441733816,0.293951207219189,0.3037816656982957,0.1301246035329736,0.1360574317849228,0.2787285523153887,0.2880654952506835,0.2886656824474667,0.2983355288881081,0.1660072593318259,0.0153592058267036,0.0053146770381504,0.1660072593318259,0.0153592058267036,0.1506480535051223,0.1606925822936755,0.1506480535051223
