dataset,weight_mode,controller,controller_label,metric,value,ci_low,ci_high,n_boot
i80,severity,rss_longitudinal,RSS longitudinal,delta_abs_q90_s,2.2,2.15,2.3,400
i80,severity,rss_longitudinal,RSS longitudinal,delta_abs_q95_s,,,,400
i80,severity,rss_longitudinal,RSS longitudinal,delta_rel_q90_s,1.7,1.7,1.7,400
i80,severity,rss_longitudinal,RSS longitudinal,sat_gap_vs_star,0.05376503564366508,0.05179980391229906,0.05575277966661471,400
i80,severity,rss_longitudinal,RSS longitudinal,delta90_penalty_vs_star_s,0.3500000000000001,0.2999999999999998,0.3999999999999999,400
i80,severity,rss_longitudinal,RSS longitudinal,delta_rel90_penalty_vs_star_s,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,400
ngsim_pooled,frequency,star,Upper bound,saturation,0.9943750256613791,0.9938822131285896,0.9947861779827645,400
ngsim_pooled,frequency,star,Upper bound,delta_abs_q50_s,0.95,0.95,0.95,400
ngsim_pooled,frequency,star,Upper bound,delta_abs_q90_s,1.5,1.5,1.5,400
ngsim_pooled,frequency,star,Upper bound,delta_abs_q95_s,1.7,1.7,1.7,400
ngsim_pooled,frequency,star,Upper bound,delta_rel_q90_s,1.5,1.5,1.5,400
ngsim_pooled,frequency,star,Upper bound,sat_gap_vs_star,0.0,0.0,0.0,400
ngsim_pooled,frequency,star,Upper bound,delta90_penalty_vs_star_s,0.0,0.0,0.0,400
ngsim_pooled,frequency,star,Upper bound,delta_rel90_penalty_vs_star_s,0.0,0.0,0.0,400
ngsim_pooled,frequency,pi,Weak TTC,saturation,0.4998334861611032,0.49753719189237267,0.5023258333675483,400
ngsim_pooled,frequency,pi,Weak TTC,delta_abs_q50_s,,2.5,3.51875,400
ngsim_pooled,frequency,pi,Weak TTC,delta_abs_q90_s,,,,400
ngsim_pooled,frequency,pi,Weak TTC,delta_abs_q95_s,,,,400
ngsim_pooled,frequency,pi,Weak TTC,delta_rel_q90_s,1.55,1.55,1.55,400
ngsim_pooled,frequency,pi,Weak TTC,sat_gap_vs_star,0.49454153950027596,0.49216894539714684,0.49686851337357035,400
ngsim_pooled,frequency,pi,Weak TTC,delta90_penalty_vs_star_s,,,,400
ngsim_pooled,frequency,pi,Weak TTC,delta_rel90_penalty_vs_star_s,0.050000000000000044,0.050000000000000044,0.050000000000000044,400
ngsim_pooled,frequency,pi_tuned,Strong TTC,saturation,0.9492931145387109,0.9482391731789543,0.9503476261513405,400
ngsim_pooled,frequency,pi_tuned,Strong TTC,delta_abs_q50_s,0.95,0.95,0.95,400
ngsim_pooled,frequency,pi_tuned,Strong TTC,delta_abs_q90_s,1.7,1.65,1.7,400
ngsim_pooled,frequency,pi_tuned,Strong TTC,delta_abs_q95_s,,3.95,4.65,400
ngsim_pooled,frequency,pi_tuned,Strong TTC,delta_rel_q90_s,1.5,1.5,1.5,400
