recording_id,controller,saturation,delta_abs_q50_s,delta_abs_q90_s,delta_abs_q95_s,delta_rel_q90_s,dataset,weight_mode,controller_label,n_instances,sat_gap_vs_star,delta90_penalty_vs_star_s,delta_rel90_penalty_vs_star_s
20,star,0.9916666666666665,1.15,2.1,2.55,2.05,highd_external,frequency,Upper bound,240,0.0,0.0,0.0
20,pi,0.6458333333333333,1.65,,,2.05,highd_external,frequency,Weak TTC,240,0.3458333333333332,,0.0
20,pi_tuned,0.9749999999999999,1.2,2.3,3.05,2.0,highd_external,frequency,Strong TTC,240,0.016666666666666607,0.19999999999999973,-0.04999999999999982
20,pi_sd,0.9916666666666665,1.15,2.1,2.55,2.05,highd_external,frequency,Stopping-distance,240,0.0,0.0,0.0
20,rss_longitudinal,0.9916666666666665,1.15,2.1,2.55,2.05,highd_external,frequency,RSS longitudinal,240,0.0,0.0,0.0
20,star,0.9848550914860816,1.65,2.7,2.95,2.5,highd_external,severity,Upper bound,240,0.0,0.0,0.0
20,pi,0.5459850665055672,2.3,,,2.1,highd_external,severity,Weak TTC,240,0.4388700249805144,,-0.3999999999999999
20,pi_tuned,0.9577774985528487,1.65,2.95,4.2,2.75,highd_external,severity,Strong TTC,240,0.027077592933232975,0.25,0.25
20,pi_sd,0.9848550914860816,1.65,2.7,2.95,2.5,highd_external,severity,Stopping-distance,240,0.0,0.0,0.0
20,rss_longitudinal,0.9848550914860816,1.65,2.7,2.95,2.5,highd_external,severity,RSS longitudinal,240,0.0,0.0,0.0
21,star,0.9999999999999996,1.3,2.05,2.3,2.05,highd_external,frequency,Upper bound,264,0.0,0.0,0.0
21,pi,0.7007575757575755,1.45,,,1.9,highd_external,frequency,Weak TTC,264,0.2992424242424241,,-0.1499999999999999
21,pi_tuned,0.9772727272727268,1.3,2.1,2.6,2.05,highd_external,frequency,Strong TTC,264,0.022727272727272707,0.050000000000000266,0.0
21,pi_sd,0.9999999999999996,1.3,2.05,2.35,2.05,highd_external,frequency,Stopping-distance,264,0.0,0.0,0.0
21,rss_longitudinal,0.9999999999999996,1.3,2.05,2.35,2.05,highd_external,frequency,RSS longitudinal,264,0.0,0.0,0.0
21,star,1.0,1.55,2.3,2.45,2.3,highd_external,severity,Upper bound,264,0.0,0.0,0.0
21,pi,0.5866887271964216,1.95,,,2.1,highd_external,severity,Weak TTC,264,0.4133112728035784,,-0.19999999999999973
21,pi_tuned,0.9647817653811255,1.55,2.5,3.15,2.15,highd_external,severity,Strong TTC,264,0.03521823461887452,0.20000000000000018,-0.1499999999999999
21,pi_sd,1.0,1.55,2.3,2.45,2.3,highd_external,severity,Stopping-distance,264,0.0,0.0,0.0
