delta_s,coverage_star,coverage_pi,coverage_pi_tuned,coverage_pi_sd,coverage_rss_longitudinal,coverage_star_ci_low,coverage_star_ci_high,coverage_pi_ci_low,coverage_pi_ci_high,coverage_pi_tuned_ci_low,coverage_pi_tuned_ci_high,coverage_pi_sd_ci_low,coverage_pi_sd_ci_high,coverage_rss_longitudinal_ci_low,coverage_rss_longitudinal_ci_high,coverage_gap_pi,coverage_gap_pi_tuned,coverage_gap_pi_sd,coverage_gap_rss_longitudinal,coverage_gap,coverage_gap_tuned,coverage_gain_pi_tuned_vs_base,coverage_gain_pi_sd_vs_base,coverage_gain_rss_longitudinal_vs_base,coverage_gain_tuned_vs_base
1.0,0.19141130849669089,0.12981065825181928,0.18879548171739666,0.1904433841773584,0.1904145417908361,0.18334847573296675,0.1984943852602339,0.12396718211012396,0.13500015033415022,0.18088110675052263,0.1961931349044039,0.18236924983665248,0.19771155813123997,0.18231079020851798,0.19764863764021684,0.0616006502448716,0.002615826779294228,0.000967924319332486,0.0009967667058547736,0.0616006502448716,0.002615826779294228,0.058984823465577374,0.060632725925539116,0.06060388353901683,0.058984823465577374
1.05,0.23224867551100403,0.15949349868672155,0.22929560421702472,0.23113832257512112,0.23108517181298704,0.22366314061536588,0.23951700996772574,0.1527629456661632,0.16531417910082852,0.22062634314210308,0.2368430382321563,0.22255037590073432,0.23849441981957056,0.22254936159799468,0.2384552160694481,0.07275517682428248,0.0029530712939793147,0.0011103529358829078,0.0011635036980169877,0.07275517682428248,0.0029530712939793147,0.06980210553030317,0.07164482388839957,0.07159167312626549,0.06980210553030317
1.1,0.26988198155841175,0.18738388304375708,0.2666046736522591,0.26857315297445744,0.2684986563617081,0.2603376016358122,0.2781098086185072,0.1799687118423327,0.1931056386337131,0.2569691661707984,0.2744916831248945,0.2588720032440301,0.2768314414061539,0.2587994827179937,0.2767504362051119,0.08249809851465467,0.00327730790615266,0.0013088285839543135,0.0013833251967036442,0.08249809851465467,0.00327730790615266,0.07922079060850201,0.08118926993070036,0.08111477331795103,0.07922079060850201
1.15,0.31595211423504255,0.22049420684215248,0.3120001277706427,0.3143536261332209,0.3142427764153468,0.30591779731069396,0.32430923707022624,0.21158954275660805,0.22741194789862504,0.30168963389053166,0.32019988997604304,0.30405712599557394,0.3225713881193157,0.3039320659403257,0.3225181373298675,0.09545790739289006,0.00395198646439987,0.0015984881018216712,0.0017093378196957332,0.09545790739289006,0.00395198646439987,0.09150592092849019,0.09385941929106839,0.09374856957319433,0.09150592092849019
1.2,0.3534991824221909,0.24826273839368485,0.3492010692420866,0.35168341194914116,0.3515227691084192,0.3423071671884793,0.3628139806579512,0.23936078007314426,0.2557479954743983,0.33797121285460224,0.358704907150848,0.34050337391635427,0.36090756421071124,0.3404059262941163,0.3606768815021719,0.10523644402850607,0.004298113180104313,0.0018157704730497604,0.001976413313771741,0.10523644402850607,0.004298113180104313,0.10093833084840176,0.10342067355545631,0.10326003071473433,0.10093833084840176
1.25,0.4018338159999561,0.28037917660162903,0.39699254551065327,0.39979776190743554,0.39955132803636173,0.390980036857562,0.4113847553710941,0.270442363285908,0.2889201357193294,0.38598396573219457,0.4067806338637915,0.3886192528159332,0.4094831149504073,0.3883281189761602,0.4092376243962385,0.12145463939832707,0.004841270489302829,0.002036054092520556,0.0022824879635943707,0.12145463939832707,0.004841270489302829,0.11661336890902424,0.11941858530580651,0.1191721514347327,0.11661336890902424
1.3,0.44389028979383,0.3106166047062283,0.4389143706054579,0.44210388519816585,0.441814460664365,0.4317316799986529,0.4539761311270186,0.3002591552897774,0.31950167391327966,0.42657541706094526,0.4492122535653434,0.4296897464639081,0.45221246850104035,0.4294378718551859,0.451921099048014,0.13327368508760168,0.004975919188372091,0.0017864045956641483,0.0020758291294649678,0.13327368508760168,0.004975919188372091,0.1282977658992296,0.13148728049193753,0.1311978559581367,0.1282977658992296
1.35,0.49111281822412667,0.34234553319504196,0.48538591719612834,0.48926196318229576,0.4888809365992933,0.47872966555181334,0.5022065492688235,0.33150682893941186,0.3513696229023127,0.4728094985559219,0.49626163230531656,0.47641224089520345,0.5003791973026673,0.47608321468487774,0.49995331949308325,0.1487672850290847,0.005726901027998332,0.0018508550418309122,0.002231881624833343,0.1487672850290847,0.005726901027998332,0.14304038400108637,0.1469164299872538,0.14653540340425136,0.14304038400108637
1.4,0.525339313233126,0.36650725712532045,0.5189216196424723,0.5235376990014645,0.523156672418462,0.5122992234817293,0.536653988989645,0.3560654088148632,0.375805945472053,0.5062041996120925,0.5304038896947554,0.5105952406269332,0.5349840977214638,0.5102565559854665,0.5345780935080255,0.15883205610780554,0.006417693590653695,0.0018016142316614747,0.0021826408146640164,0.15883205610780554,0.006417693590653695,0.15241436251715185,0.15703044187614407,0.15664941529314153,0.15241436251715185
1.45,0.5704055555680587,0.39451293432359963,0.5620708764146474,0.5679958820622972,0.567573667620656,0.5579195068232369,0.5818369694151775,0.38387615522907,0.4046253982304572,0.5496185522741417,0.5731772416989898,0.5556507093226383,0.5794465905465899,0.5550516005240316,0.5789689925233066,0.1758926212444591,0.00833467915341135,0.0024096735057614893,0.0028318879474027447,0.1758926212444591,0.00833467915341135,0.16755794209104774,0.1734829477386976,0.17306073329705635,0.16755794209104774
1.5,0.6049975206742041,0.4162031302700311,0.5966628144783364,0.6027158153267641,0.6022954699605396,0.5926866512567425,0.6159686323742052,0.40484177997871934,0.4260168039121433,0.5842765192293636,0.6082749095259132,0.5905321268146562,0.6142388055841883,0.5901201732543832,0.6138038896035757,0.188794390404173,0.008334706195867736,0.0022817053474399884,0.0027020507136644722,0.188794390404173,0.008334706195867736,0.18045968420830527,0.18651268505673302,0.18609233969050853,0.18045968420830527
